Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Mileage,Reason,K,Comments
295,2705581,14253,2004,APRILIA,OTHER,ZD4PWD0054S000773,,ACCIDENT,,
110,2700924,14054,1995,GMC,YUKON,1GKEK13K8SJ759760,,ABANDONED,,
396,2732817,15468,2003,FORD,ESCAPE,1FMYU93153KD89853,,ABANDONED,,
149,2737257,15653,2010,CHEVROLET,MALIBU,1G1ZB5EBXAF148558,,ACCIDENT,,
494,2717791,14770,2003,TOYOTA,CAMRY,4T1BE32K13U132557,,ACCIDENT,,
299,2698554,13945,2003,CHEVROLET,VENTURE,1GNDX03E83D252121,,ARREST,,
55,2712560,14559,2006,CHRYSLER,SEBRING,1C3EL56R96N205428,,ACCIDENT,,
47,2701395,14080,2005,CHEVROLET,TAHOE,1GNEK13T05J220792,,ACCIDENT,,
29,2704116,14196,2000,VOLVO,S40,YV1VS2552YF462675,,ILLEGALLY PARKED,,
286,2707325,14329,1999,CHRYSLER,TOWN-COUNT,1C4GP64LXXB838309,,ABANDONED,,
349,2696650,900822,2004,PONTIAC,GRAND AM,1G2NF52E34M545140,,KCIPD,,
338,2696547,900767,1998,TOYOTA,AVALON,4T1BF18B2WU222796,,KCIPD,,
241,2724509,15084,2003,CADILLAC,DEVILLE,1G6KD54Y33U221389,STARTS,ARREST,K,STARTS
508,2733254,15481,1998,FORD,EXPLORER,1FMZU34X8WZB36249,,ILLEGALLY PARKED,,
17,2737540,15660,2001,TOYOTA,CAMRY,4T1BF22K61U964528,,ACCIDENT,,
75,2703172,14163,2004,FORD,ESCAPE,1FMYU03124DA23379,,ACCIDENT,K,
22,2735954,15597,2003,NISSAN,ALTIMA,1N4AL11D43C100145,,ABANDONED,,
423,2725785,15148,2002,HONDA,ODYSSEY,5FNRL18982B044520,,ACCIDENT,K,
131,2731771,15400,2001,OLDSMOBILE,AURORA,1G3GR64H914118131,,ABANDONED,,
488,2720825,14918,2006,CHEVROLET,EQUINOX,2CNDL13F866097118,,ACCIDENT,,
398,2729651,15312,2000,BMW,7 SERIES,WBAGH8347YDP05948,,ABANDONED,,
52,2701895,14093,1997,HONDA,CRV,JHLRD1850VC065201,,ACCIDENT,,
289,2697939,13928,1997,OLDSMOBILE,ACHIEVA,1G3NL52T0VM348964,,ABANDONED,,
213,2727689,15220,1989,CHEVROLET,CORSICA,1G1LT5415KE268884,,STOLEN,,
421,2725901,15150,2005,NISSAN,MAXIMA,1N4BA41E65C851934,,ACCIDENT,,
146,2724608,15087,1999,DODGE,CARAVAN,2B4GP25G4XR180804,,STOLEN,,
473,2714921,14670,1994,NISSAN,ALTIMA,1N4BU31D6RC237982,,ACCIDENT,,
348,2696644,900811,2006,TOYOTA,AVALON,4T1BK36B06U120827,,KCIPD,,
275,2708828,14381,2017,CHEVROLET,SONIC,1G1JG6SH9H4175429,,ACCIDENT,,
242,2736501,15626,2006,CADILLAC,CTS,1G6DP577760126767,,STOLEN,,
28,2704712,14217,2003,BUICK,RENDEZVOUS,3G5DB03E43S595278,,ABANDONED,,
87,2732050,15425,2000,FORD,TAURUS,1FAFP55S7YA187794,,ABANDONED,,
496,2711030,14499,2000,FORD,FOCUS,1FAFP3836YW365576,STARTS,ARREST,K,STARTS
368,2737183,15649,2005,KIA,OPTIMA,KNAGD126555404381,,STOLEN,,
177,2723437,15036,2006,PONTIAC,G6,1G2ZG558164153698,,ABANDONED,,
104,2699192,13976,2003,FORD,CROWN VICT,2FAFP71W43X108344,,ILLEGALLY PARKED,,
88,2732100,15432,2002,MERCURY,COUGAR,1ZWHT61L525601182,,ABANDONED,,
486,2725138,15114,2002,SATURN,S SERIES,1G8ZK54712Z244349,,ILLEGALLY PARKED,,
112,2705060,14233,2006,KIA,SEDONA,KNDMB233366018186,,ABANDONED,K,
489,2710084,14454,2005,CHEVROLET,IMPALA,2G1WH52K759246080,,ACCIDENT,K,
464,2710680,14480,1999,DODGE,GRAND CARA,2B4GP44G0XR362383,,STOLEN,,
409,2712727,14569,2005,CHRYSLER,PACIFICA,2C4GF68415R670404,,ABANDONED,,
126,2731485,15389,1989,JEEP,CHEROKEE,1J4FJ38L6KL537426,,ARREST,K,
515,2717750,14768,1998,HONDA,ACCORD,1HGCG2254WA014095,,ABANDONED,,
38,2702721,14145,1999,DODGE,CARAVAN,2B4FP25B9XR462369,,STOLEN,,
471,2717615,14760,1997,SATURN,S SERIES,1G8ZJ5276VZ153331,,ILLEGALLY PARKED,,
435,2721207,14934,2007,PONTIAC,GRAND PRIX,2G2WP552371153309,,ACCIDENT,,
458,2696679,13865,2003,CADILLAC,DEVILLE,1G6KE57Y73U112782,,ARREST,K,
26,2733642,15495,1996,NISSAN,MAXIMA,JN1CA21D0TT107272,,ACCIDENT,,
130,2731743,15392,2004,SUZUKI,OTHER,KL5VM52L64B105110,,ABANDONED,,
264,2708664,14377,2007,MAZDA,OTHER,JM1FE173070208357,,ACCIDENT,,
444,2729624,15309,2000,FORD,FOCUS,1FAFP3430YW330036,,ABANDONED,,
253,2721702,14956,1995,VOLVO,940,YV1JS8319S3196839,,ACCIDENT,K,
